<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20220103;080000;345.3800000
GAZP;60;20220103;090000;346.8200000
GAZP;60;20220103;100000;346.6200000
GAZP;60;20220103;110000;350.3300000
GAZP;60;20220103;120000;350.2300000
GAZP;60;20220103;130000;351.6000000
GAZP;60;20220103;140000;351.3500000
GAZP;60;20220103;150000;350.9000000
GAZP;60;20220103;160000;351.4400000
GAZP;60;20220103;170000;350.8400000
GAZP;60;20220103;180000;350.2800000
GAZP;60;20220103;190000;350.9000000
GAZP;60;20220103;200000;350.7900000
GAZP;60;20220103;210000;351.1100000
GAZP;60;20220103;220000;351.8300000
GAZP;60;20220103;230000;352.8700000
GAZP;60;20220104;000000;353.7300000
GAZP;60;20220104;080000;356.5800000
GAZP;60;20220104;090000;357.2500000
GAZP;60;20220104;100000;356.3200000
GAZP;60;20220104;110000;352.4700000
GAZP;60;20220104;120000;351.0500000
GAZP;60;20220104;130000;353.6700000
GAZP;60;20220104;140000;354.2200000
GAZP;60;20220104;150000;353.8500000
GAZP;60;20220104;160000;352.3400000
GAZP;60;20220104;170000;353.1500000
GAZP;60;20220104;180000;352.6400000
GAZP;60;20220104;190000;352.7000000
GAZP;60;20220104;200000;352.5200000
GAZP;60;20220104;210000;353.1700000
GAZP;60;20220104;220000;352.5800000
GAZP;60;20220104;230000;352.7700000
GAZP;60;20220105;000000;352.5500000
GAZP;60;20220105;080000;350.3000000
GAZP;60;20220105;090000;350.5700000
GAZP;60;20220105;100000;350.8800000
GAZP;60;20220105;110000;352.5800000
GAZP;60;20220105;120000;351.9100000
GAZP;60;20220105;130000;350.9900000
GAZP;60;20220105;140000;350.0900000
GAZP;60;20220105;150000;346.6500000
GAZP;60;20220105;160000;347.3300000
GAZP;60;20220105;170000;348.0200000
GAZP;60;20220105;180000;344.8500000
GAZP;60;20220105;190000;345.2000000
GAZP;60;20220105;200000;343.1900000
GAZP;60;20220105;210000;341.5400000
GAZP;60;20220105;220000;339.8500000
GAZP;60;20220105;230000;334.5600000
GAZP;60;20220106;000000;335.0000000
GAZP;60;20220106;080000;340.0400000
GAZP;60;20220106;090000;338.9900000
GAZP;60;20220106;100000;339.7300000
GAZP;60;20220106;110000;340.9300000
GAZP;60;20220106;120000;338.0000000
GAZP;60;20220106;130000;340.7700000
GAZP;60;20220106;140000;341.6400000
