<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;60;20220103;080000;23.158.0000000
GMKN;60;20220103;090000;23.344.0000000
GMKN;60;20220103;100000;23.310.0000000
GMKN;60;20220103;110000;23.390.0000000
GMKN;60;20220103;120000;23.358.0000000
GMKN;60;20220103;130000;23.372.0000000
GMKN;60;20220103;140000;23.350.0000000
GMKN;60;20220103;150000;23.374.0000000
GMKN;60;20220103;160000;23.374.0000000
GMKN;60;20220103;170000;23.336.0000000
GMKN;60;20220103;180000;23.236.0000000
GMKN;60;20220103;190000;23.284.0000000
GMKN;60;20220103;200000;23.350.0000000
GMKN;60;20220103;210000;23.320.0000000
GMKN;60;20220103;220000;23.332.0000000
GMKN;60;20220103;230000;23.346.0000000
GMKN;60;20220104;000000;23.378.0000000
GMKN;60;20220104;080000;23.426.0000000
GMKN;60;20220104;090000;23.440.0000000
GMKN;60;20220104;100000;23.388.0000000
GMKN;60;20220104;110000;23.368.0000000
GMKN;60;20220104;120000;23.288.0000000
GMKN;60;20220104;130000;23.244.0000000
GMKN;60;20220104;140000;23.344.0000000
GMKN;60;20220104;150000;23.264.0000000
GMKN;60;20220104;160000;23.210.0000000
GMKN;60;20220104;170000;23.178.0000000
GMKN;60;20220104;180000;23.242.0000000
GMKN;60;20220104;190000;23.298.0000000
GMKN;60;20220104;200000;23.270.0000000
GMKN;60;20220104;210000;23.302.0000000
GMKN;60;20220104;220000;23.292.0000000
GMKN;60;20220104;230000;23.332.0000000
GMKN;60;20220105;000000;23.314.0000000
GMKN;60;20220105;080000;23.212.0000000
GMKN;60;20220105;090000;23.270.0000000
GMKN;60;20220105;100000;23.262.0000000
GMKN;60;20220105;110000;23.364.0000000
GMKN;60;20220105;120000;23.396.0000000
GMKN;60;20220105;130000;23.488.0000000
GMKN;60;20220105;140000;23.530.0000000
GMKN;60;20220105;150000;23.442.0000000
GMKN;60;20220105;160000;23.504.0000000
GMKN;60;20220105;170000;23.572.0000000
GMKN;60;20220105;180000;23.478.0000000
GMKN;60;20220105;190000;23.500.0000000
GMKN;60;20220105;200000;23.418.0000000
GMKN;60;20220105;210000;23.340.0000000
GMKN;60;20220105;220000;23.280.0000000
GMKN;60;20220105;230000;22.970.0000000
GMKN;60;20220106;000000;23.010.0000000
GMKN;60;20220106;080000;23.280.0000000
GMKN;60;20220106;090000;23.152.0000000
GMKN;60;20220106;100000;23.260.0000000
GMKN;60;20220106;110000;23.352.0000000
GMKN;60;20220106;120000;23.130.0000000
GMKN;60;20220106;130000;23.168.0000000
GMKN;60;20220106;140000;23.172.0000000
GMKN;60;20220106;150000;23.070.0000000
GMKN;60;20220106;160000;23.144.0000000
GMKN;60;20220106;170000;23.190.0000000
GMKN;60;20220106;180000;23.214.0000000
GMKN;60;20220106;190000;23.220.0000000
GMKN;60;20220106;200000;23.246.0000000
GMKN;60;20220106;210000;23.244.0000000
GMKN;60;20220106;220000;23.226.0000000
GMKN;60;20220106;230000;23.268.0000000
GMKN;60;20220107;000000;23.280.0000000
GMKN;60;20220110;080000;23.450.0000000
GMKN;60;20220110;090000;23.444.0000000
GMKN;60;20220110;100000;23.468.0000000
GMKN;60;20220110;110000;23.500.0000000
GMKN;60;20220110;120000;23.556.0000000
GMKN;60;20220110;130000;23.666.0000000
GMKN;60;20220110;140000;23.612.0000000
GMKN;60;20220110;150000;23.640.0000000
GMKN;60;20220110;160000;23.596.0000000
GMKN;60;20220110;170000;23.604.0000000
GMKN;60;20220110;180000;23.586.0000000
GMKN;60;20220110;190000;23.516.0000000
GMKN;60;20220110;200000;23.490.0000000
GMKN;60;20220110;210000;23.494.0000000
GMKN;60;20220110;220000;23.500.0000000
GMKN;60;20220110;230000;23.500.0000000
GMKN;60;20220111;000000;23.508.0000000
GMKN;60;20220111;080000;23.554.0000000
GMKN;60;20220111;090000;23.506.0000000
GMKN;60;20220111;100000;23.482.0000000
GMKN;60;20220111;110000;23.492.0000000
GMKN;60;20220111;120000;23.610.0000000
GMKN;60;20220111;130000;23.750.0000000
GMKN;60;20220111;140000;23.778.0000000
GMKN;60;20220111;150000;23.750.0000000
GMKN;60;20220111;160000;23.750.0000000
GMKN;60;20220111;170000;23.770.0000000
GMKN;60;20220111;180000;23.714.0000000
GMKN;60;20220111;190000;23.700.0000000
GMKN;60;20220111;200000;23.722.0000000
GMKN;60;20220111;210000;23.688.0000000
GMKN;60;20220111;220000;23.708.0000000
GMKN;60;20220111;230000;23.696.0000000
GMKN;60;20220112;000000;23.734.0000000
GMKN;60;20220112;080000;23.714.0000000
GMKN;60;20220112;090000;23.688.0000000
GMKN;60;20220112;100000;23.708.0000000
GMKN;60;20220112;110000;23.564.0000000
GMKN;60;20220112;120000;23.806.0000000
GMKN;60;20220112;130000;23.866.0000000
GMKN;60;20220112;140000;23.958.0000000
GMKN;60;20220112;150000;23.976.0000000
GMKN;60;20220112;160000;23.992.0000000
GMKN;60;20220112;170000;23.984.0000000
GMKN;60;20220112;180000;23.998.0000000
GMKN;60;20220112;190000;24.050.0000000
GMKN;60;20220112;200000;24.022.0000000
GMKN;60;20220112;210000;24.022.0000000
GMKN;60;20220112;220000;24.006.0000000
GMKN;60;20220112;230000;23.996.0000000
GMKN;60;20220113;000000;24.040.0000000
GMKN;60;20220113;080000;22.782.0000000
GMKN;60;20220113;090000;22.800.0000000
GMKN;60;20220113;100000;22.886.0000000
GMKN;60;20220113;110000;22.886.0000000
GMKN;60;20220113;120000;23.110.0000000
GMKN;60;20220113;130000;23.324.0000000
GMKN;60;20220113;140000;23.164.0000000
GMKN;60;20220113;150000;22.844.0000000
GMKN;60;20220113;160000;22.940.0000000
GMKN;60;20220113;170000;23.086.0000000
GMKN;60;20220113;180000;22.882.0000000
GMKN;60;20220113;190000;22.472.0000000
GMKN;60;20220113;200000;22.784.0000000
GMKN;60;20220113;210000;22.782.0000000
GMKN;60;20220113;220000;22.864.0000000
GMKN;60;20220113;230000;22.848.0000000
GMKN;60;20220114;000000;22.836.0000000
GMKN;60;20220114;080000;22.902.0000000
GMKN;60;20220114;090000;22.770.0000000
GMKN;60;20220114;100000;22.734.0000000
GMKN;60;20220114;110000;22.682.0000000
GMKN;60;20220114;120000;22.884.0000000
GMKN;60;20220114;130000;22.820.0000000
GMKN;60;20220114;140000;22.680.0000000
GMKN;60;20220114;150000;22.720.0000000
GMKN;60;20220114;160000;22.716.0000000
GMKN;60;20220114;170000;22.340.0000000
GMKN;60;20220114;180000;22.716.0000000
GMKN;60;20220114;190000;22.608.0000000
GMKN;60;20220114;200000;22.608.0000000
GMKN;60;20220114;210000;22.554.0000000
GMKN;60;20220114;220000;22.504.0000000
GMKN;60;20220114;230000;22.570.0000000
GMKN;60;20220115;000000;22.648.0000000
GMKN;60;20220117;080000;22.518.0000000
GMKN;60;20220117;090000;22.578.0000000
GMKN;60;20220117;100000;22.624.0000000
GMKN;60;20220117;110000;22.510.0000000
GMKN;60;20220117;120000;22.376.0000000
GMKN;60;20220117;130000;22.384.0000000
GMKN;60;20220117;140000;22.310.0000000
GMKN;60;20220117;150000;22.176.0000000
GMKN;60;20220117;160000;22.008.0000000
GMKN;60;20220117;170000;21.838.0000000
GMKN;60;20220117;180000;21.588.0000000
GMKN;60;20220117;190000;21.818.0000000
GMKN;60;20220117;200000;21.928.0000000
GMKN;60;20220117;210000;21.832.0000000
GMKN;60;20220117;220000;21.858.0000000
GMKN;60;20220117;230000;21.828.0000000
GMKN;60;20220118;000000;21.820.0000000
GMKN;60;20220118;080000;21.460.0000000
GMKN;60;20220118;090000;21.532.0000000
GMKN;60;20220118;100000;21.430.0000000
GMKN;60;20220118;110000;21.056.0000000
GMKN;60;20220118;120000;21.376.0000000
GMKN;60;20220118;130000;21.280.0000000
GMKN;60;20220118;140000;21.344.0000000
GMKN;60;20220118;150000;20.950.0000000
GMKN;60;20220118;160000;20.714.0000000
GMKN;60;20220118;170000;20.296.0000000
GMKN;60;20220118;180000;20.300.0000000
GMKN;60;20220118;190000;20.652.0000000
GMKN;60;20220118;200000;20.756.0000000
